Course Number,Course Title,,,,ABG,AGS,AMG,EEO,HP,IX,MAT,MDR,NTHS,program,OPS,PAM,PTK,PRS,PTE,PB,SALUTE,SCE,SKD
ARCH A185,Environmental Design Systems,,,,X,X,,,,,,,X,"1.2, 3.1",,,X,,X,,X,,
ARCH A190,Environmental Studies Practicum,,,,X,X,,,,,,,X,"1.2, 3.1",,,X,,X,,X,,
ARCH A196,Green Building Codes,,,,X,X,,,,,,,X,"1.2, 3.1",,,X,,X,,X,,
ARCH A197,California Energy Code,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A199,Current Topics in Architecture,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A201,Design/Build 1 for Architecture,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A201H,Design/Build for Arch 1 Honors,,,,X,X,,,X,,,,X,3.1,,,X,,X,,X,,
ARCH A202,Design/Build 2 for Architecture,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A202H,Design/Build 2 for Architecture,,,,X,X,,,X,,,,X,3.1,,,X,,X,,X,,
ARCH A203,Design/Build 3 Architecture,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A205,Arch Dwg/Desgn Visual 2,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A210,Environmental Design Field Studies,,,,X,X,,,,,,,,"1.2, 3.1",,,X,,X,,X,,
ARCH A215,Architectural Design/Theory 2,,,,X,X,,,,,,,X,3.10,,,X,,X,,X,,
ARCH A220,Bldg Materials/Systems,,,,X,X,,,,,,,X,3.10,,,X,,X,,X,,
ARCH A225,Land and Building Development,,,,X,X,,,,,,,,,,,X,,X,,X,,
ARCH A230,Arch Design/Theory 3,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A230H,Arch Design/Theory 3 Honors,,,,X,X,,,X,,,,X,3.1,,,X,,X,,X,,
ARCH A241,FrameCAD Workshop 1,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A242,FrameCAD Workshop 2,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A243,FrameCAD Workshop 3,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A250,Building Codes and Standards,,,,X,X,,,,,,,,,,,X,,X,,X,,
ARCH A290,History Of Architecture 1,,,,X,X,,,,,,,,,,,X,,X,,X,,
ARCH A290H,History of Architecture 1 Honors,,,,X,X,,,X,,,,,,,,X,,X,,X,,
ARCH A291,Dir Study,,,,,X,,,,,,,X,3.1,,,X,,,,X,,
ARCH A292,Dir Study,,,,,X,,,,,,,X,3.1,,,X,,,,X,,
ARCH A293,Dir Study,,,,,X,,,,,,,X,3.1,,,X,,,,X,,
ARCH A294,Dir Study,,,,X,X,,,,,,,X,3.1,,,X,,X,,X,,
ARCH A295,Dir Study,,,,,X,,,,,,,X,3.1,,,X,,,,X,,
ARCH A296,History of Architecture 2,,,,X,X,,,,,,,,,,,X,,,,X,,
ARCH A296H,History of Architecture 2 Honors,,,,X,X,,,X,,,,,,,,X,,,,X,,
ARLN A112,Flight Attendant Qualifications and Opportunities,,,,,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A116,Airline Operations and Terminology,,,,,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A117,Aviation Management,,,,X,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A119,Travel Safety Inflight and Ground,,,,,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A120,Airline Service Excellence,,,,,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A136,Corporate/Contract Flight Attendant,,,,,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A137,"Operations, Terminology & Safety",,,,X,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A139,Flight Attendant Qualification,,,,,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A291,Dir Study,,,,,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A292,Dir Study,,,,,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A293,Dir Study,,,,,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A294,Dir Study,,,,,X,,,,,,,X,4.3,,,X,,,,X,,
ARLN A295,Dir Study,,,,,X,,,,,,,X,4.3,,,X,,,,X,,
ART A100,Western Art Prehistory-Gothic,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A100H,Western Art Prehistory-Gothic Honors,,,,,X,,,X,,,,,,,,X,,X,,X,,
ART A101,Western Art Ren-Modern,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A101H,Western Art Ren-Modern Honors,,,,,X,,,X,,,,,,,,X,,X,,X,,
ART A102,Survey Modern/Contemporary Art,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A103,Survey of Asian Art,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A107,Introduction To Art,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A108,Women in Art,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A109,Ancient Greek Art and Architecture,,,,,X,,,,,,,X,3.1,,,X,,X,,X,,
ART A109H,Ancient Greek Art and Architecture Honors,,,,,X,,,X,,,,X,3.1,,,X,,X,,X,,
ART A110,Color & Design: 2-D,,,,X,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A111,Color & Design: 3-D,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A114,Art of the Ancient Americas,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A115,"Art of Africa, Oceania, and Indigenous North America",,,,,X,,,,,,,,,,,X,,X,,X,,
ART A116,Furniture Making/Design,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A118,Product Illustration 1,,,,,X,,,,,,,X,3.2,,,X,,X,,X,,
ART A119,Product Illustration 2,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A120,Beginning Drawing,,,,X,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A120H,Beginning Drawing Honors,,,,X,X,,,X,,,,X,11.2,,,X,,X,,X,,
ART A121,Life Drawing 1,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A122,Human Anat for Artists,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A124,Advanced Drawing,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A125,Perspective Drawing,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A126,Life Drawing 2,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A127,Introduction to Storyboarding,,,,X,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A128,Adv Storyboard & Previsualiztn,,,,X,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A129,Figure Draw Animate/Illustrate,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A130,Painting 1,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A131,Painting 2,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A132,Painting 3,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A133,Painting 4,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A135,Digital Painting,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A141,Sculpture 1,,,3,X,X,,,,,,,,,,,X,,X,,X,,
ART A142,Life Sculpture 1,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A143,Story Illustration Tech,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A144,Illustration 2 - Sequential,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A145,Exhibition Design 1,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A147,Jewelry 1,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A148,World History of Ceramics,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A150,Ceramics 1,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A151,Ceramics 2,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A152,Intermediate Ceramic Design,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A153,Ceramics and its Narrative,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A162,Applied Arts I,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A170,Printmaking 1,,,,,X,,,,,,,X,9.1,,,X,,X,,X,,
ART A171,Printmaking 2,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A172,Applied Arts II,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A175,Screen Process Printing 1,,,,,X,,,,,,,X,9.1,,,X,,X,,X,,
ART A176,Screen Process Printng 2,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A180,Professional Studies,,,,X,X,,,,,,,,,,,X,,X,,X,,
ART A220,Figure Composition,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A235,Experimental Painting,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A236,Life Painting 1,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A237,Life Painting 2,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A241,Sculpture 2,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A242,Advanced Sculpture New Media,,,,,X,,,,,,,,,,,X,,X,,X,,
